Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Communications,GEO,30/08/1990,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.,,,7,,"1,474",20776,United Kingdom,Skynet 4C,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),"35775km � 35797km, 13.6�",1436.07,,Military,60e5620d98df02cf358006f8
Communications,GEO,26/02/1999,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.",,,7,,"1,510",25639,United Kingdom,Skynet 4E,Ministry of Defense,"35774km � 35797km, 4.99�",1436.06,,Military,60e5620d98df02cf358006f9
Communications,GEO,11/03/2007,New generation of Skynet communications.,,,15,,"4,700",30794,United Kingdom,Skynet 5A,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),"35771km � 35802km, 0.07�",1436.1,,Military,60e5620d98df02cf358006fa
Communications,GEO,14/11/2007,,,,15,,"4,635",32294,United Kingdom,Skynet 5B,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),"35700km � 35803km, 0.07�",1436.1,,Military,60e5620d98df02cf358006fb
Communications,GEO,12/06/2008,24 super-high-frequency and UHF channels; provide secure communications services to British and NATO forces.,,,,,"4,600",33055,United Kingdom,Skynet 5C,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),"35770km � 35803km, 0.53�",1436.1,,Military,60e5620d98df02cf358006fc
Communications,GEO,19/12/2012,,,,15,,"4,638",39034,United Kingdom,Skynet 5D,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),"35786km � 35793km, 0.07�",1436.24,,Military,60e5620d98df02cf358006fd
Earth Observation,LEO,21/11/2013,"Planned 24-satellite constellation for imaging. Previously owned by Google, but acquired by Planet in 2/17.",Optical Imaging,,,,,39418,USA,SkySat-1,"Planet Labs, Inc.","567km � 599km, 97.81�",96.34,Sun-Synchronous,Commercial,60e5620d98df02cf358006fe
Earth Observation,LEO,31/10/2017,,Optical Imaging,,,,110,42990,USA,SkySat-10,"Planet Labs, Inc.","500km � 526km, 97.3�",94.8,Sun-Synchronous,Commercial,60e5620d98df02cf358006ff
Earth Observation,LEO,31/10/2017,,Optical Imaging,,,,110,42989,USA,SkySat-11,"Planet Labs, Inc.","500km � 528km, 97.3�",94.9,Sun-Synchronous,Commercial,60e5620d98df02cf35800700
Earth Observation,LEO,31/10/2017,,Optical Imaging,,,,110,42988,USA,SkySat-12,"Planet Labs, Inc.","500km � 528km, 97.3�",94.9,Sun-Synchronous,Commercial,60e5620d98df02cf35800701
Earth Observation,LEO,31/10/2017,,Optical Imaging,,,,110,42987,USA,SkySat-13,"Planet Labs, Inc.","500km � 528km, 97.3�",94.9,Sun-Synchronous,Commercial,60e5620d98df02cf35800702
Earth Observation,LEO,03/12/2018,,Optical Imaging,,,,100,43797,USA,SkySat-14,"Planet Labs, Inc.","572km � 588km, 97.7�",96.3,Sun-Synchronous,Commercial,60e5620d98df02cf35800703
Earth Observation,LEO,03/12/2018,,Optical Imaging,,,,100,43802,USA,SkySat-15,"Planet Labs, Inc.","573km � 590km, 97.7�",96.3,Sun-Synchronous,Commercial,60e5620d98df02cf35800704
Earth Observation,LEO,13/06/2020,,Optical Imaging,,,,100,45788,USA,SkySat-16,"Planet Labs, Inc.","398km � 401km, 53�",92.5,Non-Polar Inclined,Commercial,60e5620d98df02cf35800705
Earth Observation,LEO,13/06/2020,,Optical Imaging,,,,100,45790,USA,SkySat-17,"Planet Labs, Inc.","395km � 403km, 53�",92.5,Non-Polar Inclined,Commercial,60e5620d98df02cf35800706
Earth Observation,LEO,13/06/2020,,Optical Imaging,,,,100,45789,USA,SkySat-18,"Planet Labs, Inc.","387km � 398km, 53�",92.5,Non-Polar Inclined,Commercial,60e5620d98df02cf35800707
Earth Observation,LEO,08/07/2014,Will collect high resolution panchromatic and multispectral images of the Earth.,Optical Imaging,,,,90,40072,USA,SkySat-2,"Planet Labs, Inc.","626km � 634km, 98.4�",97.31,Sun-Synchronous,Commercial,60e5620d98df02cf35800708
Earth Observation,LEO,22/06/2016,Terra Bella is owned by Google.,Optical Imaging,,,,110,41601,USA,SkySat-3,"Planet Labs, Inc.","500km � 515km, 97.5�",94.78,Sun-Synchronous,Commercial,60e5620d98df02cf35800709
Earth Observation,LEO,16/09/2016,,Optical Imaging,,,,110,41771,USA,SkySat-4,"Planet Labs, Inc.","501km � 502km, 97.6�",94.64,Sun-Synchronous,Commercial,60e5620d98df02cf3580070a
Earth Observation,LEO,16/09/2016,,Optical Imaging,,,,110,41772,USA,SkySat-5,"Planet Labs, Inc.","501km � 502km, 97.42�",94.64,Sun-Synchronous,Commercial,60e5620d98df02cf3580070b
Earth Observation,LEO,16/09/2016,,Optical Imaging,,,,110,41773,USA,SkySat-6,"Planet Labs, Inc.","497km � 506km, 97.43�",94.64,Sun-Synchronous,Commercial,60e5620d98df02cf3580070c
Earth Observation,LEO,16/09/2016,,Optical Imaging,,,,110,41774,USA,SkySat-7,"Planet Labs, Inc.","501km � 502km, 97.42�",94.65,Sun-Synchronous,Commercial,60e5620d98df02cf3580070d
Earth Observation,LEO,31/10/2017,,Optical Imaging,,,,110,42992,USA,SkySat-8,"Planet Labs, Inc.","500km � 526km, 97.3�",94.8,Sun-Synchronous,Commercial,60e5620d98df02cf3580070e
Earth Observation,LEO,31/10/2017,,Optical Imaging,,,,110,42991,USA,SkySat-9,"Planet Labs, Inc.","500km � 526km, 97.3�",94.8,Sun-Synchronous,Commercial,60e5620d98df02cf3580070f
Communications,GEO,14/11/2010,"Part of a fourth generation, or 4G, wireless system designed to reach nearly every American by the end of 2016. 22-m diameter L-band antenna; 2 m Ku-band antenna.",,,15,,"5,360",37218,USA,SkyTerra 1,LightSquared,"35782km � 35791km, 6.06�",1436.09,,Commercial,60e5620d98df02cf35800710
Communications,Elliptical,12/05/1996,Provides tactical intelligence focused support to broad community of users consisting of uniformed military services and government agencies for both exercises and operations.,,,,,,23893,USA,USA 119,National Reconnaissance Office (NRO),"1200km � 11600km, 63.4�",240,Molniya,Military,60e5620d98df02cf35800711
Earth Observation,LEO,31/01/2015,"SMAP provide the most accurate, highest-resolution global measurements of soil moisture ever obtained from space and will detect whether the ground is frozen or thawed. ",Earth Science,,3,,,40376,USA,SMAP,National Aeronautics and Space Administration (NASA),"660km � 686km, 98.13�",98.21,Sun-Synchronous,Government,60e5620d98df02cf35800712
Technology Development,LEO,13/09/2012,Technology experiments under the STP (Space Test Program).,,,,,5,38766,USA,SMDC-ONE 1.1,US Army Space and Missile Defense Command,"495km � 791km, 64.6�",97.5,Non-Polar Inclined,Military,60e5620d98df02cf35800713
Technology Development,LEO,13/09/2012,Mission unknown.,,,,,3,38759,USA,SMDC-ONE 1.2,US Army Space and Missile Defense Command,"483km � 789km, 64.6�",97.4,Non-Polar Inclined,Military,60e5620d98df02cf35800714
Technology Development,LEO,06/12/2013,"Possibly testing use for tactical 'Beyond Line of Sight' communications.",,,,,5,39474,USA,SMDC-ONE 2.3,US Army Space and Missile Defense Command,"443km � 886km, 120.3�",98,Polar,Military,60e5620d98df02cf35800715
Technology Development,LEO,06/12/2013,"Possibly testing use for tactical 'Beyond Line of Sight' communications.",,,,,5,39472,USA,SMDC-ONE 2.4,US Army Space and Missile Defense Command,"443km � 886km, 120.3�",98,Polar,Military,60e5620d98df02cf35800716
Earth Observation,LEO,06/12/2019,5 cm by 5 cm picosat. Spectrum analyzer to measure man-made electromagnetic pollution (elextrosmog). Novel spectrum monitoring payload to make a global map of spectrum usage. Will undertake DVB-T band spectrum monitoring. ,Earth Science,,,,1,44832,Hungary,SMOG-P,Budapest University of Technology and Economics,"326km � 370km, 97�",92,Sun-Synchronous,Civil,60e5620d98df02cf35800717
Earth Observation,LEO,02/11/2009,Mission to measure sea surface salinity and soil moisture on a global scale.,Earth Science,,3,,658,36036,ESA,SMOS,"Centre National d'Etudes Spatiales (CNES)/European Space Agency (ESA)","759km � 760km, 98.4�",100,Sun-Synchronous,Government,60e5620d98df02cf35800718
Technology Development,LEO,08/10/2015,Technology development for user software-defined radios for beyond-line-of-sight communication in remote areas.,,,,,5,40970,USA,SNaP-3 Alice,US Army Space and Missile Defense Command,"495km � 801km, 64.78�",97.68,Non-Polar Inclined,Military,60e5620d98df02cf35800719
Technology Development,LEO,08/10/2015,Technology development for user software-defined radios for beyond-line-of-sight communication in remote areas.,,,,,5,40972,USA,SNaP-3 Eddie,US Army Space and Missile Defense Command,"496km � 801km, 64.78�",97.69,Non-Polar Inclined,Military,60e5620d98df02cf3580071a
Technology Development,LEO,08/10/2015,Technology development for user software-defined radios for beyond-line-of-sight communication in remote areas.,,,,,5,40975,USA,SNaP-3 Jimi,US Army Space and Missile Defense Command,"495km � 801km, 64.78�",97.67,Non-Polar Inclined,Military,60e5620d98df02cf3580071b
Communications,LEO,06/12/2013,Communications experiments.,,,,,,39468,USA,SNaP-3-1,US Southern Command,"443km � 886km, 120.3�",98,Polar,Military,60e5620d98df02cf3580071c
Technology Development,LEO,31/01/2018,Demonstrate an S-band inter-satellite communications package that could allow future constellations of spacecraft to conduct autonomous missions.,,,1,,9,43186,Germany,S-Net-1,Technical University Berlin,"572km � 588km, 97.7�",96.2,Sun-Synchronous,Civil,60e5620d98df02cf3580071d
Technology Development,LEO,31/01/2018,,,,1,,9,43187,Germany,S-Net-2,Technical University Berlin,"571km � 588km, 97.7�",96.2,Sun-Synchronous,Civil,60e5620d98df02cf3580071e
Technology Development,LEO,31/01/2018,,,,1,,9,43188,Germany,S-Net-3,Technical University Berlin,"571km � 588km, 97.7�",96.2,Sun-Synchronous,Civil,60e5620d98df02cf3580071f
Technology Development,LEO,31/01/2018,,,,1,,9,43189,Germany,S-Net-4,Technical University Berlin,"571km � 588km, 97.7�",96.2,Sun-Synchronous,Civil,60e5620d98df02cf35800720
Technology Development,LEO,03/12/2018,Technology developmen and amateur radio.,,,,,3,43784,South Korea,SNUGLITE,Seoul National University,"572km � 591km, 97.7�",96.3,Sun-Synchronous,Civil,60e5620d98df02cf35800721
Technology Development,LEO,03/12/2018,Development mission for disaster monitoring using wide-angle and high resolution cameras. Also carries other experiments.,,,,,4,43782,South Korea,SNUSat-2,Seoul National University,"572km � 588km, 97.7�",96.3,Sun-Synchronous,Civil,60e5620d98df02cf35800722
Technology Development,LEO,24/05/2014,Development of new satellite bus.,,,,,48,39768,Japan,SOCRATES,National Institute of Information and Communications Technology (JPN),"618km � 629km, 97.87�",97.17,Sun-Synchronous,Commercial,60e5620d98df02cf35800723
Technology Development,LEO,23/01/2009,Observe lightening.,,,,,50,33496,Japan,SOHLA 1,Astrotech SOHLA,"657km � 665km, 98.1�",98,Sun-Synchronous,Civil,60e5620d98df02cf35800724
Space Science,LEO,05/07/2019,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,,,,,4,44404,Russia,SOKRAT,Moscow State University,"515km � 546km, 97.5�",95.2,Sun-Synchronous,Civil,60e5620d98df02cf35800725
Technology Development,LEO,05/07/2019,Technology demonstrator for highly autonomous payloads.,,,,,1,44400,Germany,SONATE,University of W�rzburg,"514km � 546km, 97.5�",95.2,Sun-Synchronous,Civil,60e5620d98df02cf35800726
Space Science,LEO,25/01/2003,Monitor Sun; improve accuracy of measurement of solar energy.,,,6,,315,27651,USA,SOlar Radiation and Climate Experiment (SORCE),"National Aeronautics and Space Administration (NASA) Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado","600km � 633km, 40�",97,Non-Polar Inclined,Government/Civil,60e5620d98df02cf35800727
Space Science,LEO,19/02/2020,Studies in the ionosphere on plasma densities and waves.,,,,,9,45264,USA,SORTIE,COSMIAC (Configurable Space Microsystems Innovations & Applications Center) ,"409km � 419km, 51.6�",92.8,Non-Polar Inclined,Government,60e5620d98df02cf35800728
Communications,GEO,06/05/2017,"Will give free access to users in India, Bangladesh, Sri Lanka, the Maldives, Nepal, Bhutan and Afghanistan",,,12,,"2,230",42695,India,South Asia Satellite,South Asian Association for Regional Cooperation,"35775km � 35798km, 0�",1436.11,,Government,60e5620d98df02cf35800729
Communications,LEO,11/01/2018,,,,,,1,43142,USA,SpaceBEE-1,Swarm Technologies,"493km � 505km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580072a
Communications,LEO,11/01/2018,,,,,,1,43141,USA,SpaceBEE-2,Swarm Technologies,"493km � 505km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580072b
Communications,LEO,11/01/2018,,,,,,1,43140,USA,SpaceBEE-3,Swarm Technologies,"493km � 505km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580072c
Communications,LEO,11/01/2018,"A quarter of the size of a one unit cubesat--4"" x 4"" x 1"". Reportedly launched without FCC permission. Concerns about space junk and untrackability. ",,,,,1,43139,USA,SpaceBEE-4,Swarm Technologies,"493km � 505km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620d98df02cf3580072d
Communications,LEO,03/12/2018,Test the satellites for low-rate Internet of Things (IoT) network connectivity.,,,,,2,43817,USA,SpaceBEE-5,Swarm Technologies,"573km � 590km, 97.7�",96.3,Sun-Synchronous,Commercial,60e5620d98df02cf3580072e
Communications,LEO,03/12/2018,Test the satellites for low-rate Internet of Things (IoT) network connectivity.,,,,,2,43818,USA,SpaceBEE-6,Swarm Technologies,"573km � 589km, 97.7�",96.3,Sun-Synchronous,Commercial,60e5620d98df02cf3580072f
Communications,LEO,03/12/2018,Test the satellites for low-rate Internet of Things (IoT) network connectivity.,,,,,2,43816,USA,SpaceBEE-7,Swarm Technologies,"573km � 589km, 97.7�",96.3,Sun-Synchronous,Commercial,60e5620d98df02cf35800730
Communications,LEO,29/06/2019,,,,,,2,44371,USA,SpaceBEE-8,Swarm Technologies,"447km � 460km, 45�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800731
Communications,LEO,29/06/2019,,,,,,2,44370,USA,SpaceBEE-9,Swarm Technologies,"446km � 460km, 45�",93.6,Non-Polar Inclined,Commercial,60e5620d98df02cf35800732
Communications,GEO,14/08/2007,,,,12,,"6,100",32018,USA,Spaceway 3,Hughes Space and Communications Co. ,"35785km � 35787km, 0.06�",1436.1,,Commercial,60e5620d98df02cf35800733
Communications,GEO,16/11/2005,17 Ku-band transponders; high definition.,,,12.5,,"5,993",28903,USA,Spaceway F2,"DirecTV, Inc.","35785km � 35787km, 0.04�",1436.1,,Commercial,60e5620d98df02cf35800734
Communications,GEO,11/03/2006,Secure communications satellite for Spanish Ministry of Defense; both X and Ku-band.,,,,,"3,680",28946,Spain,Spainsat,Hisdesat/Ministry of Defense,"35745km � 35826km, 0.06�",1436.1,,Military,60e5620d98df02cf35800735
Technology Development,LEO,05/05/2019,"Test miniaturized avionics, a software-defined radio system, and a visible camera.",,,,,8,44226,USA/Sweden,SPARC-1,Air Force Research Laboratory (AFRL)/Swedish Defense Materiel Administration,"493km � 511km, 40.02�",94.7,Non-Polar Inclined,Military,60e5620d98df02cf35800736
Earth Observation,LEO,21/12/2016,Hyperspectral imaging,Hyperspectral Imaging,,,,50,41900,China,Spark-1,Shanghai Engineering Center for Microsatellites,"690km � 725km, 98.15�",98.94,Sun-Synchronous,Government,60e5620d98df02cf35800737
Earth Observation,LEO,21/12/2016,Hyperspectral imaging,Hyperspectral Imaging,,,,50,41901,China,Spark-2,Shanghai Engineering Center for Microsatellites,"690km � 727km, 98.15�",98.96,Sun-Synchronous,Government,60e5620d98df02cf35800738
Technology Development,LEO,06/10/2018,Demonstrate a new technique for ionosphere mapping,,,,,3,43638,Japan/Singapore,SPATIUM-I,Kyushu Institute of Technology (KIT)/Nanyang Technological University (NTU),"400km � 406km, 51.6�",92.6,Non-Polar Inclined,Civil,60e5620d98df02cf35800739
Space Science,Elliptical,18/07/2011,"Featuring a 30-foot (10-meter) wide antenna, ""The aim  is to use the space telescope to conduct interferometer observations to obtain images, coordinates, motions and evolution of angular structure of different radio emitting objects in the universe.""",,,5,,"3,660",37755,Multinational,Spektr-R/RadioAstron,Astro Space Center of Moscow/Russian Academy of Sciences,"1000km � 330000km, 51.46�","11,520",Cislunar,Government,60e5620d98df02cf3580073a
